Fecha,Estado,Clase,Servicio,Fuente comparendo,Infracción,Lugar  infracción
10/14/2022 12:00:00 AM,Pagado,BUSETA,Público,Comparendera Electrónica Simit,C14,12 222
10/13/2022 12:00:00 AM,Pagado,MICROBUS,Público,Comparendera Electrónica Simit,C03,Sin identificar
10/13/2022 12:00:00 AM,Resolucion,BUSETA,Público,Comparendera Electrónica Simit,C03,Sin identificar
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/13/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,25EL BOSQUE
10/13/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,Floridablanca
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C15,Sin identificar
10/13/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,29 CARACOLI
10/13/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/13/2022 12:00:00 AM,Cese,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/13/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,30 CAÑAVERAL
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/13/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C35,25 EL BOSQUE
10/13/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,Sin identificar
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,20 18
10/13/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,Floridablanca
10/13/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,20 94
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,25 EL BOSQUE
10/13/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,20 FOSUNAB
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/13/2022 12:00:00 AM,Pagado,BUSETA,Particular,Comparendera Electrónica Simit,C02,24 73
10/13/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,24 Y 25 CAÑAVERAL
10/13/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,D07,Floridablanca
10/12/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,Floridablanca
10/12/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,Floridablanca
10/12/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,25 CAÑAVERAL
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/12/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26A CAÑAVERAL
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,110 CALDAS
10/12/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,110 CALDAS
10/12/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,111 09
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,31 EL DORADO
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,9 LAGOS 1
10/12/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C24,31 90
10/12/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,193 VILLA JARDIN
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,196C 54
10/12/2022 12:00:00 AM,Pagado,SIN IDENTIFICAR,Público,Comparendera Electrónica Simit,B03,KM18
10/12/2022 12:00:00 AM,Pagado,SIN IDENTIFICAR,Público,Comparendera Electrónica Simit,C08,KM18
10/12/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,Sin identificar
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,Sin identificar
10/12/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,Floridablanca
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,Sin identificar
10/12/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,Floridablanca
10/12/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,Sin identificar
10/12/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,B01,196 54
10/12/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,Floridablanca
10/12/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C14,196C
10/12/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,111 ZAPAMANGA 5 ETAPA
10/12/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,46B EL CARMEN
10/11/2022 12:00:00 AM,Pagado,BUSETA,Público,Comparendera Electrónica Simit,H03,Floridablanca
10/11/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D07,25 Y 24
10/11/2022 12:00:00 AM,Exonerados,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,KM 110
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,36-84 SANTAMARIA  CAÑAVARAL
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26-10 CAÑAVERAL
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,Floridablanca
10/11/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,23 CAÑAVERAL
10/11/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,23-17 CAÑAVERAL
10/11/2022 12:00:00 AM,Cese,AUTOMOVIL,Público,Comparendera Electrónica Simit,H03,Floridablanca
10/11/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,25 33
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,25 LA PERA CAÑAVERAL
10/11/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,D01,Sin identificar
10/11/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,25-33
10/11/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,25-33
10/11/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,D01,Sin identificar
10/11/2022 12:00:00 AM,ANULADO,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,Sin identificar
10/11/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,Sin identificar
